English word,French word,Frequency
prepare,préparer,37
hands,mains,167
desperate,désespéré,41
spoke,parlait,112
youth,jeunesse,142
without,sans pour autant,270
these,celles-ci,1034
quoth,quoth,61
drunk,ivre,39
music,la musique,83
would,aurait,1974
scorn,mépris,68
warrant,mandat,139
because,car,80
silence,silence,34
prison,prison,32
sister,sœur,77
fairy,Fée,32
grief,douleur,112
excellent,excellent,83
merchant,marchande,13
version,version,1
devise,concevoir,34
guess,devine,30
endure,supporter,61
drums,tambours,20
object,objet,26
shortly,prochainement,28
humble,humble,56
folly,folie,34
flight,vol,20
forest,forêt,44
vengeance,vengeance,36
throat,gorge,24
infinite,infini,30
least,moins,67
misery,misère,15
sleep,sommeil,113
minds,esprits,36
commission,commission,27
after,après,267
quiet,silencieux,47
close,proche,61
policy,politique,26
saint,Saint,5
learn,apprendre,66
weeping,larmes,30
blood,du sang,338
straight,tout droit,68
throw,jeter,83
speaks,parle,95
thank,remercier,275
sweet,sucré,580
faces,visages,22
yours,le tiens,77
undone,défait,22
violent,violent,37
sworn,juré,97
empty,vide,37
deadly,mortel,41
spring,printemps,30
ambition,ambition,16
leave,laisser,477
blush,rougir,30
besides,outre,29
knave,fripon,62
weeds,mauvaises herbes,24
morrow,demain,19
others,autres,96
laugh,rire,64
swift,rapide,55
faint,perdre connaissance,26
murder,meurtre,34
making,fabrication,45
minister,ministre,27
cruel,cruel,54
often,souvent,116
remedy,remède,12
cardinal,cardinal,3
consent,consentement,51
strange,étrange,168
respect,le respect,66
aside,de côté,24
success,Succès,17
authority,autorité,27
loose,ample,33
therefore,par conséquent,280
creature,créature,35
child,enfant,92
trust,confiance,123
private,privé,54
young,Jeune,345
companion,un compagnon,19
provided,à condition de,21
tribunes,tribunes,15
wisdom,sagesse,64
fatal,fatal,37
gates,portes,56
sorry,Pardon,71
happiness,bonheur,32
treasure,Trésor,33
mistake,erreur,23
embrace,embrasse,48
cheek,joue,38
victory,la victoire,14
praise,louange,119
cheer,acclamation,41
better,mieux,474
special,spécial,36
contempt,mépris,19
truth,vérité,163
service,un service,110
there,Là,914
sweat,transpiration,25
betray,trahir,36
swear,jurer,178
college,Université,3
copyright,droits d'auteur,7
approach,approche,30
turns,se tourne,41
number,nombre,36
obedience,obéissance,20
fierce,féroce,34
struck,frappé,61
brave,courageux,134
judge,juge,39
darkness,obscurité,23
write,écrire,89
order,ordre,63
proceed,procéder,24
shape,forme,54
nothing,rien,365
understand,comprendre,82
distributed,distribué,1
birth,naissance,30
forth,en avant,227
wives,épouses,26
heaven,paradis,285
loving,aimant,105
unhappy,malheureux,24
silver,argent,42
mighty,puissant,97
despair,désespoir,22
weapons,armes,20
blessing,bénédiction,22
hundred,cent,104
other,autre,544
woman,femme,152
queen,reine,51
uncle,oncle,84
matter,matière,140
courage,courage,31
instant,instant,45
walls,des murs,51
native,originaire de,42
yield,rendement,104
noise,bruit,70
speak,parler,691
sacred,sacré,46
tender,soumissionner,121
question,question,87
bought,acheté,42
loves,aime,149
spirit,esprit,143
picture,image,20
sharp,tranchant,57
names,des noms,25
messenger,Messager,28
regard,qui concerne,26
wench,jeune fille,17
witch,sorcière,21
mirth,gaieté,20
royal,Royal,192
flies,mouches,34
tonight,ce soir,19
shake,secouer,80
almost,presque,135
displeasure,mécontentement,23
steward,intendant,12
chide,gronder,35
reign,règne,19
manner,manière,64
naked,nu,38
trial,procès,31
